,Category,Message,Number of exclamations,Question Marks,words,STOP WORDS,NUMBER OF STOP WORDS,DATE,ORG,CARDINAL,LOC,GPE,EVENT,MONEY,number of dates,number of Cardinals,number of financial Terms,number of Times,ADJECTIVES,Number of ADJECTIVES,INTERJECTION,Number of INTERJECTION,NOUNS,Number of NOUNS,Verbs,Number of Verbs,WHwords,Number of WHwords,Foreign word,Number of Foreign word,Foreign Word,Number of digits
0,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0,0,28,"['in', 'a', 'to', 'to', 'to']",5,"['May 2005', '87121', '08452810075over18']",[],['2'],[],0,0,[],3,1,0,0,"['Free', 'wkly', 'final', 'std']",4,[],0,"['entry', 'comp', 'FA', 'Cup', 'tkts', 'May', 'FA', 'entry', 'question', 'txt', 'rate', 'T', 'C']",13,"['win', 'Text', 'receive', 'apply']",4,[],0,[],0,,25
1,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",2,1,32,"['there', 'it', 'been', 'now', 'and', 'no', 'some', 'you', 'up', 'for', 'it', 'to', 'to']",13,"[""3 week's""]",[],[],[],0,0,['1.50'],1,0,1,0,[],0,[],0,"['FreeMsg', 'Hey', 'week', 'word', 'fun', 'Tb', 'ok', 'XxX', 'chgs']",9,"['darling', ""'s"", 'been', 'like', 'std', 'send', '£1.50', 'rcv']",8,[],0,[],0,,4
2,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,3,0,26,"['a', 'you', 'have', 'been', 'to', 'only']",6,['09061701461'],[],[],[],0,0,[],1,0,0,1,[],0,[],0,"['WINNER', 'network', 'customer', '£900', 'reward', 'call', 'Claim', 'code', 'KL341', 'Valid', 'hours']",11,"['valued', 'have', 'been', 'selected', 'receivea', 'prize', 'claim']",7,[],0,[],0,,19
3,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,1,29,"['your', 'or', 'more', 'to', 'to', 'the', 'with', 'for', 'on']",9,['08002986030'],['Update'],[],[],0,0,[],1,0,0,0,"['mobile', 'more', 'latest', 'Free']",4,[],0,"['Had', 'months', 'U', 'R', 'colour', 'mobiles', 'camera', 'Mobile', 'Update', 'Co', 'FREE']",11,"['entitled', 'Update', 'Call']",3,[],0,[],0,,13
4,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,0,26,"['to', 'to', 'and', 'to']",4,"['150p/day', '6days']",[],"['SIX', '16', '4']",[],0,0,[],2,3,0,0,['txt'],1,[],0,"['SIX', 'chances', 'CASH', 'pounds', '>', 'CSH11', 'Cost', 'TsandCs', 'Reply', 'HL', 'info']",11,"['win', 'send']",2,[],0,[],0,,22
5,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",2,0,26,"['have', 'won', 'a', 'in', 'our', 'the', 'to']",7,['1 week'],"['FREE', 'T&C']",['81010'],[],0,0,[],1,1,0,0,[],0,[],0,"['URGENT', 'week', 'FREE', 'membership', '£100,000', 'Prize', 'Jackpot', 'Txt', 'word', 'CLAIM', 'T', 'C', 'www.dbuk.net', 'LCCLTD', 'POBOX']",15,"['have', 'won']",2,[],0,[],0,,20
6,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0,1,19,"['your', 'the', 'in', 'the', 'or', 'here']",6,[],['WAP'],[],[],0,0,[],0,0,0,0,"['next', 'txt']",2,[],0,"['XXXMobileMovieClub', 'credit', 'WAP', 'link', 'message', 'click', '>', '>', 'http', '//wap', 'n=QJKGIGHJJGCBL']",11,"['use', 'click', 'xxxmobilemovieclub.com']",3,[],0,[],0,,0
7,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",0,0,24,"['the', 'to', 'to']",3,[],['SCOTLAND 4txt/ú1.20'],['87077'],[],0,0,[],0,1,0,0,"['ur', 'national']",2,[],0,"['England', 'v', 'Macedonia', 'dont', 'goals/team', 'news', 'Txt', 'team', 'eg', 'ENGLAND', 'Try', 'WALES', 'SCOTLAND', 'POBOXox36504W45WQ']",14,['miss'],1,[],0,[],0,,23
8,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,0,0,29,"['for', 'your', 'to', 'your', 'will', 'be', 'by', 'or', 'you', 'you', 'will', 'not', 'be']",13,[],[],[],[],0,0,[],0,0,0,0,['£5/month'],1,['NO'],1,"['Thanks', 'subscription', 'Ringtone', 'UK', 'mobile', 'Please', 'confirm', 'YES', 'NO']",9,"['be', 'charged', 'replying', 'reply', 'be', 'charged']",6,[],0,[],0,,1
9,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,0,0,33,"['to', 'you', 're', 'your', 'to', 'our', 'for', 'a', 'now', 'for']",10,"['08000930705', 'tomorrow']",[],[],[],0,0,[],2,0,0,0,"['free', 'mobile', 'free']",3,[],0,"['Rodger', 'Burns', 'MSG', 'reply', 'sms', 'nokia', '+', 'camcorder', 'call', 'delivery', 'tomorrow']",11,"['tried', 'call', 're', 'Please']",4,[],0,[],0,,22
10,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,0,2,22,"['and', 'the', 'or']",3,[],"['SMS', 'ac Sptv', 'The New Jersey Devils', 'the Detroit Red Wings play Ice Hockey']",[],[],0,0,[],0,0,0,0,[],0,[],0,"['SMS', 'ac', 'Sptv', 'New', 'Jersey', 'Devils', 'Detroit', 'Red', 'Wings', 'play', 'Ice', 'Hockey', 'Correct', 'Incorrect', 'End', 'Reply', 'END', 'SPTV']",18,[],0,[],0,[],0,,0
11,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",4,0,27,"['for', 'is', 'yours', 'now', 'all', 'out']",6,['1 year'],['150pm'],[],[],0,0,[],1,0,0,0,"['special', 'FREE']",2,[],0,"['Congrats', 'year', 'cinema', 'pass', 'C', 'Suprman', 'V', 'Matrix3', 'StarWars3', 'bx420-ip4-5we', 'Dont']",11,"['is', 'yours', 'call', 'miss']",4,[],0,[],0,,24
12,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",0,0,28,"['a', 'am', 'to', 'you', 'that', 'of', 'your', 'you', 'are', 'with', 'a']",11,[],[],[],[],0,0,['£1500 Bonus Prize'],0,0,1,0,"['pleased', 'recent', '£1500']",3,[],0,"['customer', 'review', 'Mob', 'No', 'Bonus', 'Prize', 'call']",7,"['valued', 'am', 'advise', 'following', 'are', 'awarded']",6,[],0,[],0,,15
13,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",0,0,22,"['a', 'to', 'to']",3,['18+6*£1.50(moreFrmMob'],"['DIS', 'ShrAcomOrSglSuplt)10']",['3AJ'],[],0,0,['1000'],1,1,1,0,"['Urgent', 'complimentary', 'txt']",3,[],0,"['UR', 'trip', 'EuroDisinc', 'Trav', 'Aco', 'Entry41', 'Or', '£1000', 'DIS', '*', '£1.50', 'moreFrmMob', 'ShrAcomOrSglSuplt', 'LS1']",14,"['awarded', 'claim']",2,[],0,[],0,,21
14,spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",1,1,15,"['you', 'about', 'the', 'with', 'all', 'of']",6,[],[],[],[],0,0,[],0,0,0,0,['new'],1,[],0,"['Did', 'Divorce', 'Barbie', 'Ken', 'stuff']",5,"['hear', 'comes']",2,[],0,[],0,,0
15,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,0,23,"['our', 'on', 'between', 'as', 'you', 'have', 'a', 'or']",8,['0800 169 6031'],[],[],[],0,0,['5000'],1,0,1,0,"['10am-9pm', 'guaranteed']",2,[],0,"['customer', 'service', 'representative', 'cash', 'prize']",5,"['Please', 'call', 'have', 'WON']",4,[],0,[],0,,22
16,spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",0,0,29,"['is', 'to', 'be', 'the', 'to', 'to', 'and']",7,[],['PO Box'],"['5249', '92H.']",[],0,0,[],0,2,0,0,['free'],1,[],0,"['ringtone', 'Simply', 'password', 'MIX', 'Usher', 'Britney', 'FML', 'PO', 'Box', 'MK17']",10,"['is', 'waiting', 'be', 'collected', 'text', 'verify', 'Get']",7,[],0,[],0,,18
17,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,0,27,"['are', 'to', 'you', 'that', 'you', 'won', 'a', 'only']",8,[],[],"['12hrs', '150ppm']",[],0,0,[],0,2,0,0,"['Last', 'draw']",2,[],0,"['GENT', 'weekends', 'shows', '£1000', 'prize', 'GUARANTEED', 'Claim', 'Code', 'K52', 'Valid']",10,"['are', 'trying', 'contact', 'won', 'Call']",5,[],0,[],0,,22
18,spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),0,0,27,"['are', 'a', 'have', 'been', 'or', 'a', 'to', 'a']",8,['18+'],[],"['2', '4', '2']",[],0,0,['1000'],1,3,1,0,"['receive', 'live']",2,[],0,"['winner', 'U', '£1000', '*', 'holiday', 'flights', 'inc', 'speak', 'operator', 'claim']",10,"['are', 'have', 'been', 'selected']",4,[],0,[],0,,22
19,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,0,20,['for'],1,['07742676969'],['Bonus Points'],['786'],[],0,0,[],1,1,0,0,"['PRIVATE', 'unredeemed']",2,[],0,"['Account', 'Statement', 'shows', 'Bonus', 'Points', 'Identifier', 'Code', 'Expires']",8,"['claim', 'call']",2,[],0,[],0,,34
20,spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",2,0,26,"['was', 'on', 'is', 'our', 'to', 'from']",6,[],[],['09064019788'],[],0,0,['£2000 Bonus Caller Prize'],0,1,1,0,"['Mobile', 'final']",2,[],0,"['URGENT', 'No', 'Bonus', 'Caller', 'Prize', 'try', 'U', 'Call', 'Landline', 'BOX42WR29C']",10,"['was', 'awarded', 'is', 'contact']",4,[],0,[],0,,26
21,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,0,0,27,"['are', 'to', 'a', 'you', 'have', 'a']",6,['08712300220'],[],['4041'],[],0,0,['$350'],1,1,1,0,[],0,[],0,"['Todays', 'Voda', 'numbers', 'award', 'match', 'please', 'claim', 'code', 'standard', 'rates']",10,"['ending', 'are', 'selected', 'receive', 'have', 'call', 'quoting', 'app']",8,[],0,[],0,,22
